epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1636123418340,2021-11-05T10:43:38.340,0.000,0.054,-0.975,0.190
1636123418350,2021-11-05T10:43:38.350,0.010,0.056,-0.986,0.197
1636123418360,2021-11-05T10:43:38.360,0.020,0.059,-0.996,0.196
1636123418370,2021-11-05T10:43:38.370,0.030,0.061,-1.004,0.199
1636123418380,2021-11-05T10:43:38.380,0.040,0.065,-1.011,0.196
1636123418390,2021-11-05T10:43:38.390,0.050,0.061,-1.016,0.194
1636123418400,2021-11-05T10:43:38.400,0.060,0.059,-1.021,0.188
1636123418410,2021-11-05T10:43:38.410,0.070,0.055,-1.026,0.189
1636123418420,2021-11-05T10:43:38.420,0.080,0.052,-1.036,0.183
1636123418430,2021-11-05T10:43:38.430,0.090,0.050,-1.051,0.181
1636123418440,2021-11-05T10:43:38.440,0.100,0.048,-1.062,0.180
1636123418450,2021-11-05T10:43:38.450,0.110,0.044,-1.065,0.176
1636123418460,2021-11-05T10:43:38.460,0.120,0.043,-1.065,0.176
1636123418470,2021-11-05T10:43:38.470,0.130,0.044,-1.063,0.175
1636123418480,2021-11-05T10:43:38.480,0.140,0.043,-1.058,0.176
1636123418490,2021-11-05T10:43:38.490,0.150,0.042,-1.060,0.174
1636123418500,2021-11-05T10:43:38.500,0.160,0.043,-1.063,0.174
1636123418510,2021-11-05T10:43:38.510,0.170,0.043,-1.055,0.174
1636123418520,2021-11-05T10:43:38.520,0.180,0.047,-1.044,0.180
1636123418530,2021-11-05T10:43:38.530,0.190,0.045,-1.034,0.176
1636123418540,2021-11-05T10:43:38.540,0.200,0.046,-1.027,0.172
1636123418550,2021-11-05T10:43:38.550,0.210,0.048,-1.024,0.172
1636123418560,2021-11-05T10:43:38.560,0.220,0.049,-1.018,0.174
1636123418570,2021-11-05T10:43:38.570,0.230,0.050,-1.015,0.169
1636123418580,2021-11-05T10:43:38.580,0.240,0.055,-1.012,0.171
1636123418590,2021-11-05T10:43:38.590,0.250,0.059,-1.011,0.174
1636123418600,2021-11-05T10:43:38.600,0.260,0.060,-1.007,0.172
1636123418610,2021-11-05T10:43:38.610,0.270,0.063,-0.998,0.170
1636123418620,2021-11-05T10:43:38.620,0.280,0.067,-0.996,0.169
1636123418630,2021-11-05T10:43:38.630,0.290,0.069,-0.997,0.172
1636123418640,2021-11-05T10:43:38.640,0.300,0.068,-0.998,0.170
1636123418650,2021-11-05T10:43:38.650,0.310,0.065,-1.000,0.166
1636123418660,2021-11-05T10:43:38.660,0.320,0.065,-1.001,0.166
1636123418670,2021-11-05T10:43:38.670,0.330,0.065,-1.006,0.166
1636123418680,2021-11-05T10:43:38.680,0.340,0.070,-1.011,0.164
1636123418690,2021-11-05T10:43:38.690,0.350,0.066,-1.015,0.163
1636123418700,2021-11-05T10:43:38.700,0.360,0.062,-1.012,0.167
1636123418710,2021-11-05T10:43:38.710,0.370,0.065,-1.010,0.172
1636123418720,2021-11-05T10:43:38.720,0.380,0.072,-1.018,0.175
1636123418730,2021-11-05T10:43:38.730,0.390,0.074,-1.030,0.182
1636123418740,2021-11-05T10:43:38.740,0.400,0.072,-1.030,0.186
1636123418750,2021-11-05T10:43:38.750,0.410,0.071,-1.023,0.185
1636123418760,2021-11-05T10:43:38.760,0.420,0.072,-1.019,0.185
1636123418770,2021-11-05T10:43:38.770,0.430,0.066,-1.015,0.183
1636123418780,2021-11-05T10:43:38.780,0.440,0.065,-1.009,0.180
1636123418790,2021-11-05T10:43:38.790,0.450,0.066,-1.002,0.174
1636123418800,2021-11-05T10:43:38.800,0.460,0.056,-0.993,0.167
1636123418810,2021-11-05T10:43:38.810,0.470,0.039,-0.992,0.156
1636123418820,2021-11-05T10:43:38.820,0.480,0.024,-0.992,0.150
1636123418830,2021-11-05T10:43:38.830,0.490,0.034,-1.011,0.145
1636123418840,2021-11-05T10:43:38.840,0.500,0.033,-1.015,0.163
1636123418850,2021-11-05T10:43:38.850,0.510,0.042,-1.008,0.159
1636123418860,2021-11-05T10:43:38.860,0.520,0.052,-1.029,0.162
1636123418870,2021-11-05T10:43:38.870,0.530,0.054,-1.060,0.176
1636123418880,2021-11-05T10:43:38.880,0.540,0.054,-1.076,0.180
1636123418890,2021-11-05T10:43:38.890,0.550,0.058,-1.069,0.175
1636123418900,2021-11-05T10:43:38.900,0.560,0.063,-1.070,0.171
1636123418910,2021-11-05T10:43:38.910,0.570,0.061,-1.079,0.174
1636123418920,2021-11-05T10:43:38.920,0.580,0.063,-1.090,0.177
1636123418930,2021-11-05T10:43:38.930,0.590,0.062,-1.099,0.172
1636123418940,2021-11-05T10:43:38.940,0.600,0.056,-1.102,0.177
1636123418950,2021-11-05T10:43:38.950,0.610,0.047,-1.095,0.177
1636123418960,2021-11-05T10:43:38.960,0.620,0.050,-1.088,0.173
1636123418970,2021-11-05T10:43:38.970,0.630,0.054,-1.089,0.176
1636123418980,2021-11-05T10:43:38.980,0.640,0.047,-1.086,0.177
1636123418990,2021-11-05T10:43:38.990,0.650,0.045,-1.071,0.176
1636123419000,2021-11-05T10:43:39.000,0.660,0.046,-1.038,0.175
1636123419010,2021-11-05T10:43:39.010,0.670,0.044,-1.004,0.173
1636123419020,2021-11-05T10:43:39.020,0.680,0.044,-0.981,0.171
1636123419030,2021-11-05T10:43:39.030,0.690,0.044,-0.970,0.177
1636123419040,2021-11-05T10:43:39.040,0.700,0.046,-0.964,0.185
1636123419050,2021-11-05T10:43:39.050,0.710,0.065,-0.964,0.197
1636123419060,2021-11-05T10:43:39.060,0.720,0.096,-0.969,0.217
1636123419070,2021-11-05T10:43:39.070,0.730,0.136,-0.984,0.249
1636123419080,2021-11-05T10:43:39.080,0.740,0.167,-0.991,0.283
1636123419090,2021-11-05T10:43:39.090,0.750,0.168,-0.977,0.296
1636123419100,2021-11-05T10:43:39.100,0.760,0.156,-0.964,0.290
1636123419110,2021-11-05T10:43:39.110,0.770,0.132,-0.958,0.280
1636123419120,2021-11-05T10:43:39.120,0.780,0.116,-0.972,0.264
1636123419130,2021-11-05T10:43:39.130,0.790,0.093,-0.999,0.250
1636123419140,2021-11-05T10:43:39.140,0.800,0.055,-1.017,0.234
1636123419150,2021-11-05T10:43:39.150,0.810,0.034,-1.026,0.213
1636123419160,2021-11-05T10:43:39.160,0.820,0.025,-1.035,0.201
1636123419170,2021-11-05T10:43:39.170,0.830,0.024,-1.044,0.201
1636123419180,2021-11-05T10:43:39.180,0.840,0.019,-1.042,0.202
1636123419190,2021-11-05T10:43:39.190,0.850,0.010,-1.029,0.189
1636123419200,2021-11-05T10:43:39.200,0.860,0.000,-1.014,0.183
1636123419210,2021-11-05T10:43:39.210,0.870,-0.004,-1.006,0.179
1636123419220,2021-11-05T10:43:39.220,0.880,-0.009,-1.007,0.171
1636123419230,2021-11-05T10:43:39.230,0.890,-0.007,-1.023,0.164
1636123419240,2021-11-05T10:43:39.240,0.900,-0.020,-1.054,0.156
1636123419250,2021-11-05T10:43:39.250,0.910,-0.033,-1.070,0.149
1636123419260,2021-11-05T10:43:39.260,0.920,-0.038,-1.060,0.145
1636123419270,2021-11-05T10:43:39.270,0.930,-0.030,-1.041,0.146
1636123419280,2021-11-05T10:43:39.280,0.940,-0.014,-1.030,0.165
1636123419290,2021-11-05T10:43:39.290,0.950,-0.003,-1.027,0.181
1636123419300,2021-11-05T10:43:39.300,0.960,0.003,-1.019,0.188
1636123419310,2021-11-05T10:43:39.310,0.970,0.000,-1.005,0.187
1636123419320,2021-11-05T10:43:39.320,0.980,0.000,-1.015,0.184
1636123419330,2021-11-05T10:43:39.330,0.990,-0.008,-1.022,0.188
1636123419340,2021-11-05T10:43:39.340,1.000,-0.013,-1.023,0.180
1636123419350,2021-11-05T10:43:39.350,1.010,-0.014,-1.025,0.176
1636123419360,2021-11-05T10:43:39.360,1.020,-0.024,-1.025,0.173
1636123419370,2021-11-05T10:43:39.370,1.030,-0.021,-1.021,0.171
1636123419380,2021-11-05T10:43:39.380,1.040,-0.016,-1.026,0.171
1636123419390,2021-11-05T10:43:39.390,1.050,-0.013,-1.023,0.178
1636123419400,2021-11-05T10:43:39.400,1.060,-0.009,-1.011,0.186
1636123419410,2021-11-05T10:43:39.410,1.070,-0.005,-0.999,0.186
1636123419420,2021-11-05T10:43:39.420,1.080,-0.008,-1.002,0.187
1636123419430,2021-11-05T10:43:39.430,1.090,-0.008,-1.001,0.188
1636123419440,2021-11-05T10:43:39.440,1.100,-0.009,-1.000,0.184
1636123419450,2021-11-05T10:43:39.450,1.110,-0.020,-1.010,0.181
1636123419460,2021-11-05T10:43:39.460,1.120,-0.026,-1.011,0.179
1636123419470,2021-11-05T10:43:39.470,1.130,-0.036,-1.005,0.175
1636123419480,2021-11-05T10:43:39.480,1.140,-0.044,-1.014,0.167
1636123419490,2021-11-05T10:43:39.490,1.150,-0.053,-1.039,0.172
1636123419500,2021-11-05T10:43:39.500,1.160,-0.052,-1.065,0.182
1636123419510,2021-11-05T10:43:39.510,1.170,-0.056,-1.074,0.193
1636123419520,2021-11-05T10:43:39.520,1.180,-0.062,-1.072,0.202
1636123419530,2021-11-05T10:43:39.530,1.190,-0.055,-1.068,0.208
1636123419540,2021-11-05T10:43:39.540,1.200,-0.060,-1.059,0.216
1636123419550,2021-11-05T10:43:39.550,1.210,-0.061,-1.053,0.213
1636123419560,2021-11-05T10:43:39.560,1.220,-0.064,-1.042,0.216
1636123419570,2021-11-05T10:43:39.570,1.230,-0.068,-1.033,0.221
1636123419580,2021-11-05T10:43:39.580,1.240,-0.071,-1.034,0.224
1636123419590,2021-11-05T10:43:39.590,1.250,-0.075,-1.035,0.223
1636123419600,2021-11-05T10:43:39.600,1.260,-0.077,-1.036,0.223
1636123419610,2021-11-05T10:43:39.610,1.270,-0.077,-1.045,0.221
1636123419620,2021-11-05T10:43:39.620,1.280,-0.080,-1.043,0.223
1636123419630,2021-11-05T10:43:39.630,1.290,-0.080,-1.038,0.220
1636123419640,2021-11-05T10:43:39.640,1.300,-0.079,-1.030,0.221
1636123419650,2021-11-05T10:43:39.650,1.310,-0.081,-1.036,0.223
1636123419660,2021-11-05T10:43:39.660,1.320,-0.085,-1.033,0.224
1636123419670,2021-11-05T10:43:39.670,1.330,-0.078,-1.028,0.221
1636123419680,2021-11-05T10:43:39.680,1.340,-0.080,-1.020,0.226
1636123419690,2021-11-05T10:43:39.690,1.350,-0.083,-1.018,0.224
1636123419700,2021-11-05T10:43:39.700,1.360,-0.080,-1.030,0.226
1636123419710,2021-11-05T10:43:39.710,1.370,-0.077,-1.035,0.231
1636123419720,2021-11-05T10:43:39.720,1.380,-0.079,-1.040,0.231
1636123419730,2021-11-05T10:43:39.730,1.390,-0.077,-1.046,0.232
1636123419740,2021-11-05T10:43:39.740,1.400,-0.071,-1.054,0.231
1636123419750,2021-11-05T10:43:39.750,1.410,-0.072,-1.060,0.235
1636123419760,2021-11-05T10:43:39.760,1.420,-0.073,-1.060,0.231
1636123419770,2021-11-05T10:43:39.770,1.430,-0.076,-1.050,0.224
1636123419780,2021-11-05T10:43:39.780,1.440,-0.078,-1.029,0.222
1636123419790,2021-11-05T10:43:39.790,1.450,-0.075,-1.015,0.216
1636123419800,2021-11-05T10:43:39.800,1.460,-0.072,-1.015,0.215
1636123419810,2021-11-05T10:43:39.810,1.470,-0.066,-1.017,0.220
1636123419820,2021-11-05T10:43:39.820,1.480,-0.064,-1.023,0.222
1636123419830,2021-11-05T10:43:39.830,1.490,-0.063,-1.030,0.225
1636123419840,2021-11-05T10:43:39.840,1.500,-0.063,-1.031,0.225
1636123419850,2021-11-05T10:43:39.850,1.510,-0.061,-1.027,0.224
1636123419860,2021-11-05T10:43:39.860,1.520,-0.057,-1.023,0.223
1636123419870,2021-11-05T10:43:39.870,1.530,-0.054,-1.029,0.226
1636123419880,2021-11-05T10:43:39.880,1.540,-0.054,-1.033,0.228
1636123419890,2021-11-05T10:43:39.890,1.550,-0.052,-1.032,0.229
1636123419900,2021-11-05T10:43:39.900,1.560,-0.055,-1.024,0.229
1636123419910,2021-11-05T10:43:39.910,1.570,-0.058,-1.019,0.226
1636123419920,2021-11-05T10:43:39.920,1.580,-0.059,-1.015,0.223
1636123419930,2021-11-05T10:43:39.930,1.590,-0.056,-1.015,0.222
1636123419940,2021-11-05T10:43:39.940,1.600,-0.059,-1.012,0.218
1636123419950,2021-11-05T10:43:39.950,1.610,-0.057,-1.011,0.220
1636123419960,2021-11-05T10:43:39.960,1.620,-0.054,-1.013,0.220
1636123419970,2021-11-05T10:43:39.970,1.630,-0.059,-1.017,0.213
1636123419980,2021-11-05T10:43:39.980,1.640,-0.059,-1.023,0.215
1636123419990,2021-11-05T10:43:39.990,1.650,-0.058,-1.022,0.216
1636123420000,2021-11-05T10:43:40.000,1.660,-0.061,-1.022,0.216
1636123420010,2021-11-05T10:43:40.010,1.670,-0.066,-1.014,0.208
1636123420020,2021-11-05T10:43:40.020,1.680,-0.069,-1.008,0.208
1636123420030,2021-11-05T10:43:40.030,1.690,-0.067,-1.013,0.205
1636123420040,2021-11-05T10:43:40.040,1.700,-0.067,-1.017,0.203
1636123420050,2021-11-05T10:43:40.050,1.710,-0.068,-1.014,0.204
1636123420060,2021-11-05T10:43:40.060,1.720,-0.069,-1.007,0.202
1636123420070,2021-11-05T10:43:40.070,1.730,-0.070,-1.008,0.206
1636123420080,2021-11-05T10:43:40.080,1.740,-0.069,-1.012,0.208
1636123420090,2021-11-05T10:43:40.090,1.750,-0.069,-1.021,0.215
1636123420100,2021-11-05T10:43:40.100,1.760,-0.074,-1.017,0.225
1636123420110,2021-11-05T10:43:40.110,1.770,-0.076,-1.011,0.222
1636123420120,2021-11-05T10:43:40.120,1.780,-0.070,-1.016,0.224
1636123420130,2021-11-05T10:43:40.130,1.790,-0.065,-1.037,0.226
1636123420140,2021-11-05T10:43:40.140,1.800,-0.069,-1.058,0.229
1636123420150,2021-11-05T10:43:40.150,1.810,-0.072,-1.056,0.225
1636123420160,2021-11-05T10:43:40.160,1.820,-0.076,-1.045,0.216
1636123420170,2021-11-05T10:43:40.170,1.830,-0.083,-1.038,0.212
1636123420180,2021-11-05T10:43:40.180,1.840,-0.087,-1.030,0.213
1636123420190,2021-11-05T10:43:40.190,1.850,-0.087,-1.029,0.208
1636123420200,2021-11-05T10:43:40.200,1.860,-0.096,-1.034,0.205
1636123420210,2021-11-05T10:43:40.210,1.870,-0.102,-1.030,0.208
1636123420220,2021-11-05T10:43:40.220,1.880,-0.108,-1.020,0.206
1636123420230,2021-11-05T10:43:40.230,1.890,-0.104,-1.015,0.205
1636123420240,2021-11-05T10:43:40.240,1.900,-0.098,-1.023,0.203
1636123420250,2021-11-05T10:43:40.250,1.910,-0.086,-1.027,0.212
1636123420260,2021-11-05T10:43:40.260,1.920,-0.067,-1.017,0.215
1636123420270,2021-11-05T10:43:40.270,1.930,-0.083,-1.019,0.212
1636123420280,2021-11-05T10:43:40.280,1.940,-0.091,-1.025,0.232
1636123420290,2021-11-05T10:43:40.290,1.950,-0.083,-1.020,0.231
1636123420300,2021-11-05T10:43:40.300,1.960,-0.078,-1.004,0.243
1636123420310,2021-11-05T10:43:40.310,1.970,-0.076,-1.001,0.252
1636123420320,2021-11-05T10:43:40.320,1.980,-0.069,-0.998,0.260
1636123420330,2021-11-05T10:43:40.330,1.990,-0.063,-0.985,0.260
1636123420340,2021-11-05T10:43:40.340,2.000,-0.064,-0.994,0.248
1636123420350,2021-11-05T10:43:40.350,2.010,-0.071,-1.014,0.241
1636123420360,2021-11-05T10:43:40.360,2.020,-0.084,-1.024,0.231
1636123420370,2021-11-05T10:43:40.370,2.030,-0.097,-1.026,0.211
1636123420380,2021-11-05T10:43:40.380,2.040,-0.102,-1.025,0.212
1636123420390,2021-11-05T10:43:40.390,2.050,-0.120,-0.993,0.235
1636123420400,2021-11-05T10:43:40.400,2.060,-0.152,-0.935,0.233
1636123420410,2021-11-05T10:43:40.410,2.070,-0.178,-0.902,0.216
1636123420420,2021-11-05T10:43:40.420,2.080,-0.191,-0.916,0.213
1636123420430,2021-11-05T10:43:40.430,2.090,-0.189,-0.955,0.216
1636123420440,2021-11-05T10:43:40.440,2.100,-0.184,-0.983,0.226
1636123420450,2021-11-05T10:43:40.450,2.110,-0.170,-0.988,0.234
1636123420460,2021-11-05T10:43:40.460,2.120,-0.150,-1.020,0.238
1636123420470,2021-11-05T10:43:40.470,2.130,-0.142,-1.074,0.229
1636123420480,2021-11-05T10:43:40.480,2.140,-0.140,-1.064,0.251
1636123420490,2021-11-05T10:43:40.490,2.150,-0.118,-1.040,0.239
1636123420500,2021-11-05T10:43:40.500,2.160,-0.112,-1.054,0.215
1636123420510,2021-11-05T10:43:40.510,2.170,-0.111,-1.077,0.213
1636123420520,2021-11-05T10:43:40.520,2.180,-0.117,-1.097,0.213
1636123420530,2021-11-05T10:43:40.530,2.190,-0.109,-1.057,0.211
1636123420540,2021-11-05T10:43:40.540,2.200,-0.098,-1.018,0.189
1636123420550,2021-11-05T10:43:40.550,2.210,-0.088,-1.009,0.200
1636123420560,2021-11-05T10:43:40.560,2.220,-0.088,-1.012,0.212
1636123420570,2021-11-05T10:43:40.570,2.230,-0.085,-1.007,0.213
1636123420580,2021-11-05T10:43:40.580,2.240,-0.078,-1.016,0.211
1636123420590,2021-11-05T10:43:40.590,2.250,-0.072,-1.009,0.223
1636123420600,2021-11-05T10:43:40.600,2.260,-0.068,-0.992,0.219
1636123420610,2021-11-05T10:43:40.610,2.270,-0.068,-0.977,0.218
1636123420620,2021-11-05T10:43:40.620,2.280,-0.067,-0.986,0.224
1636123420630,2021-11-05T10:43:40.630,2.290,-0.075,-0.997,0.230
1636123420640,2021-11-05T10:43:40.640,2.300,-0.071,-0.999,0.235
1636123420650,2021-11-05T10:43:40.650,2.310,-0.061,-1.008,0.234
1636123420660,2021-11-05T10:43:40.660,2.320,-0.055,-1.024,0.233
1636123420670,2021-11-05T10:43:40.670,2.330,-0.045,-1.033,0.238
1636123420680,2021-11-05T10:43:40.680,2.340,-0.036,-1.041,0.235
1636123420690,2021-11-05T10:43:40.690,2.350,-0.039,-1.046,0.243
1636123420700,2021-11-05T10:43:40.700,2.360,-0.039,-1.032,0.246
1636123420710,2021-11-05T10:43:40.710,2.370,-0.035,-1.018,0.241
1636123420720,2021-11-05T10:43:40.720,2.380,-0.034,-1.016,0.240
1636123420730,2021-11-05T10:43:40.730,2.390,-0.034,-1.021,0.240
1636123420740,2021-11-05T10:43:40.740,2.400,-0.030,-1.036,0.242
1636123420750,2021-11-05T10:43:40.750,2.410,-0.033,-1.047,0.246
1636123420760,2021-11-05T10:43:40.760,2.420,-0.041,-1.042,0.251
1636123420770,2021-11-05T10:43:40.770,2.430,-0.044,-1.024,0.244
1636123420780,2021-11-05T10:43:40.780,2.440,-0.043,-1.021,0.241
1636123420790,2021-11-05T10:43:40.790,2.450,-0.049,-1.027,0.246
1636123420800,2021-11-05T10:43:40.800,2.460,-0.055,-1.026,0.246
1636123420810,2021-11-05T10:43:40.810,2.470,-0.063,-1.019,0.245
1636123420820,2021-11-05T10:43:40.820,2.480,-0.067,-1.017,0.244
1636123420830,2021-11-05T10:43:40.830,2.490,-0.067,-1.035,0.243
1636123420840,2021-11-05T10:43:40.840,2.500,-0.070,-1.048,0.244
1636123420850,2021-11-05T10:43:40.850,2.510,-0.070,-1.059,0.246
1636123420860,2021-11-05T10:43:40.860,2.520,-0.072,-1.066,0.241
1636123420870,2021-11-05T10:43:40.870,2.530,-0.078,-1.063,0.242
1636123420880,2021-11-05T10:43:40.880,2.540,-0.075,-1.057,0.242
1636123420890,2021-11-05T10:43:40.890,2.550,-0.067,-1.053,0.235
1636123420900,2021-11-05T10:43:40.900,2.560,-0.065,-1.056,0.235
1636123420910,2021-11-05T10:43:40.910,2.570,-0.060,-1.059,0.237
1636123420920,2021-11-05T10:43:40.920,2.580,-0.055,-1.062,0.232
1636123420930,2021-11-05T10:43:40.930,2.590,-0.054,-1.063,0.229
1636123420940,2021-11-05T10:43:40.940,2.600,-0.053,-1.061,0.226
1636123420950,2021-11-05T10:43:40.950,2.610,-0.051,-1.056,0.221
1636123420960,2021-11-05T10:43:40.960,2.620,-0.044,-1.058,0.217
1636123420970,2021-11-05T10:43:40.970,2.630,-0.044,-1.068,0.217
1636123420980,2021-11-05T10:43:40.980,2.640,-0.044,-1.071,0.221
1636123420990,2021-11-05T10:43:40.990,2.650,-0.043,-1.052,0.218
1636123421000,2021-11-05T10:43:41.000,2.660,-0.038,-1.039,0.213
1636123421010,2021-11-05T10:43:41.010,2.670,-0.034,-1.040,0.209
1636123421020,2021-11-05T10:43:41.020,2.680,-0.031,-1.042,0.215
1636123421030,2021-11-05T10:43:41.030,2.690,-0.031,-1.041,0.215
1636123421040,2021-11-05T10:43:41.040,2.700,-0.033,-1.042,0.215
1636123421050,2021-11-05T10:43:41.050,2.710,-0.034,-1.039,0.211
1636123421060,2021-11-05T10:43:41.060,2.720,-0.038,-1.030,0.211
1636123421070,2021-11-05T10:43:41.070,2.730,-0.037,-1.018,0.206
1636123421080,2021-11-05T10:43:41.080,2.740,-0.044,-1.014,0.199
1636123421090,2021-11-05T10:43:41.090,2.750,-0.049,-1.017,0.191
1636123421100,2021-11-05T10:43:41.100,2.760,-0.054,-1.017,0.185
1636123421110,2021-11-05T10:43:41.110,2.770,-0.060,-1.007,0.175
1636123421120,2021-11-05T10:43:41.120,2.780,-0.062,-1.000,0.166
1636123421130,2021-11-05T10:43:41.130,2.790,-0.064,-1.005,0.158
1636123421140,2021-11-05T10:43:41.140,2.800,-0.065,-1.010,0.152
1636123421150,2021-11-05T10:43:41.150,2.810,-0.065,-1.017,0.149
1636123421160,2021-11-05T10:43:41.160,2.820,-0.062,-1.019,0.149
1636123421170,2021-11-05T10:43:41.170,2.830,-0.058,-1.021,0.150
1636123421180,2021-11-05T10:43:41.180,2.840,-0.052,-1.024,0.149
1636123421190,2021-11-05T10:43:41.190,2.850,-0.052,-1.030,0.144
1636123421200,2021-11-05T10:43:41.200,2.860,-0.055,-1.038,0.142
1636123421210,2021-11-05T10:43:41.210,2.870,-0.054,-1.043,0.137
1636123421220,2021-11-05T10:43:41.220,2.880,-0.051,-1.035,0.126
1636123421230,2021-11-05T10:43:41.230,2.890,-0.054,-1.029,0.120
1636123421240,2021-11-05T10:43:41.240,2.900,-0.051,-1.025,0.115
1636123421250,2021-11-05T10:43:41.250,2.910,-0.043,-1.034,0.108
1636123421260,2021-11-05T10:43:41.260,2.920,-0.037,-1.053,0.112
1636123421270,2021-11-05T10:43:41.270,2.930,-0.037,-1.055,0.118
1636123421280,2021-11-05T10:43:41.280,2.940,-0.029,-1.042,0.111
1636123421290,2021-11-05T10:43:41.290,2.950,-0.024,-1.035,0.103
1636123421300,2021-11-05T10:43:41.300,2.960,-0.026,-1.041,0.096
1636123421310,2021-11-05T10:43:41.310,2.970,-0.034,-1.043,0.104
1636123421320,2021-11-05T10:43:41.320,2.980,-0.046,-1.038,0.101
1636123421330,2021-11-05T10:43:41.330,2.990,-0.057,-1.040,0.100
1636123421340,2021-11-05T10:43:41.340,3.000,-0.066,-1.036,0.105
1636123421350,2021-11-05T10:43:41.350,3.010,-0.067,-1.027,0.107
1636123421360,2021-11-05T10:43:41.360,3.020,-0.069,-1.043,0.120
1636123421370,2021-11-05T10:43:41.370,3.030,-0.078,-1.074,0.136
1636123421380,2021-11-05T10:43:41.380,3.040,-0.088,-1.076,0.146
1636123421390,2021-11-05T10:43:41.390,3.050,-0.095,-1.048,0.150
1636123421400,2021-11-05T10:43:41.400,3.060,-0.094,-1.009,0.154
1636123421410,2021-11-05T10:43:41.410,3.070,-0.094,-0.977,0.156
1636123421420,2021-11-05T10:43:41.420,3.080,-0.089,-0.971,0.167
1636123421430,2021-11-05T10:43:41.430,3.090,-0.083,-1.005,0.184
1636123421440,2021-11-05T10:43:41.440,3.100,-0.081,-1.061,0.205
1636123421450,2021-11-05T10:43:41.450,3.110,-0.079,-1.082,0.229
1636123421460,2021-11-05T10:43:41.460,3.120,-0.063,-1.063,0.233
1636123421470,2021-11-05T10:43:41.470,3.130,-0.042,-1.062,0.242
1636123421480,2021-11-05T10:43:41.480,3.140,-0.035,-1.092,0.263
1636123421490,2021-11-05T10:43:41.490,3.150,-0.032,-1.114,0.268
1636123421500,2021-11-05T10:43:41.500,3.160,-0.034,-1.107,0.277
1636123421510,2021-11-05T10:43:41.510,3.170,-0.030,-1.062,0.271
1636123421520,2021-11-05T10:43:41.520,3.180,-0.025,-1.012,0.261
1636123421530,2021-11-05T10:43:41.530,3.190,-0.021,-0.976,0.260
1636123421540,2021-11-05T10:43:41.540,3.200,-0.016,-0.949,0.256
1636123421550,2021-11-05T10:43:41.550,3.210,-0.011,-0.929,0.250
1636123421560,2021-11-05T10:43:41.560,3.220,-0.010,-0.924,0.242
1636123421570,2021-11-05T10:43:41.570,3.230,-0.008,-0.933,0.242
1636123421580,2021-11-05T10:43:41.580,3.240,-0.012,-0.960,0.251
1636123421590,2021-11-05T10:43:41.590,3.250,-0.013,-1.003,0.258
1636123421600,2021-11-05T10:43:41.600,3.260,-0.027,-1.029,0.267
1636123421610,2021-11-05T10:43:41.610,3.270,-0.035,-1.016,0.267
1636123421620,2021-11-05T10:43:41.620,3.280,-0.030,-0.990,0.262
1636123421630,2021-11-05T10:43:41.630,3.290,-0.031,-0.981,0.261
1636123421640,2021-11-05T10:43:41.640,3.300,-0.040,-0.988,0.268
1636123421650,2021-11-05T10:43:41.650,3.310,-0.053,-0.986,0.272
1636123421660,2021-11-05T10:43:41.660,3.320,-0.056,-0.963,0.268
1636123421670,2021-11-05T10:43:41.670,3.330,-0.051,-0.947,0.262
1636123421680,2021-11-05T10:43:41.680,3.340,-0.055,-0.958,0.270
1636123421690,2021-11-05T10:43:41.690,3.350,-0.063,-0.974,0.273
1636123421700,2021-11-05T10:43:41.700,3.360,-0.062,-0.973,0.274
1636123421710,2021-11-05T10:43:41.710,3.370,-0.053,-0.971,0.273
1636123421720,2021-11-05T10:43:41.720,3.380,-0.048,-0.984,0.278
1636123421730,2021-11-05T10:43:41.730,3.390,-0.049,-0.989,0.287
1636123421740,2021-11-05T10:43:41.740,3.400,-0.041,-0.979,0.288
1636123421750,2021-11-05T10:43:41.750,3.410,-0.037,-0.969,0.285
1636123421760,2021-11-05T10:43:41.760,3.420,-0.034,-0.962,0.289
1636123421770,2021-11-05T10:43:41.770,3.430,-0.032,-0.953,0.284
1636123421780,2021-11-05T10:43:41.780,3.440,-0.030,-0.947,0.281
1636123421790,2021-11-05T10:43:41.790,3.450,-0.029,-0.953,0.285
1636123421800,2021-11-05T10:43:41.800,3.460,-0.028,-0.961,0.285
1636123421810,2021-11-05T10:43:41.810,3.470,-0.029,-0.960,0.282
1636123421820,2021-11-05T10:43:41.820,3.480,-0.026,-0.963,0.278
1636123421830,2021-11-05T10:43:41.830,3.490,-0.028,-0.976,0.283
1636123421840,2021-11-05T10:43:41.840,3.500,-0.035,-0.995,0.287
1636123421850,2021-11-05T10:43:41.850,3.510,-0.034,-1.019,0.288
1636123421860,2021-11-05T10:43:41.860,3.520,-0.040,-1.032,0.296
1636123421870,2021-11-05T10:43:41.870,3.530,-0.040,-1.029,0.303
1636123421880,2021-11-05T10:43:41.880,3.540,-0.034,-1.024,0.301
1636123421890,2021-11-05T10:43:41.890,3.550,-0.030,-1.030,0.296
1636123421900,2021-11-05T10:43:41.900,3.560,-0.026,-1.043,0.298
1636123421910,2021-11-05T10:43:41.910,3.570,-0.025,-1.041,0.290
1636123421920,2021-11-05T10:43:41.920,3.580,-0.018,-1.029,0.283
1636123421930,2021-11-05T10:43:41.930,3.590,-0.012,-1.022,0.278
